Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;116
Nome da estação:;São José do Rio Preto

Data;Hora;Média Horária
;;TEMP(Temperatura do Ar) - °C
25/07/2025;07:00;16,4
25/07/2025;08:00;17,3
25/07/2025;09:00;19,4
25/07/2025;10:00;22,8
25/07/2025;11:00;25,7
25/07/2025;12:00;27,5
25/07/2025;13:00;29,1
25/07/2025;14:00;30,4
25/07/2025;15:00;30,4
25/07/2025;16:00;29,2
25/07/2025;17:00;27,8
25/07/2025;18:00;26,3
25/07/2025;19:00;24,2
25/07/2025;20:00;22,5
25/07/2025;21:00;21,4
25/07/2025;22:00;20,7
25/07/2025;23:00;20,2
25/07/2025;24:00;19,5
26/07/2025;01:00;18,6
26/07/2025;02:00;17,8
26/07/2025;03:00;17,4
26/07/2025;04:00;17,0
26/07/2025;05:00;16,7
26/07/2025;06:00;16,5
26/07/2025;07:00;16,9
26/07/2025;08:00;17,4
26/07/2025;09:00;20,1
26/07/2025;10:00;23,2
26/07/2025;11:00;25,7
26/07/2025;12:00;28,2
26/07/2025;13:00;30,1
26/07/2025;14:00;30,9
26/07/2025;15:00;31,6
26/07/2025;16:00;31,8
26/07/2025;17:00;31,8
26/07/2025;18:00;30,1
26/07/2025;19:00;27,5
26/07/2025;20:00;25,0
26/07/2025;21:00;23,6
26/07/2025;22:00;22,7
26/07/2025;23:00;21,8
26/07/2025;24:00;21,3
27/07/2025;01:00;20,6
27/07/2025;02:00;20,0
27/07/2025;03:00;19,7
27/07/2025;04:00;19,5
27/07/2025;05:00;19,6
27/07/2025;06:00;19,0
27/07/2025;07:00;18,6
27/07/2025;08:00;19,0
27/07/2025;09:00;21,2
27/07/2025;10:00;24,1
27/07/2025;11:00;26,2
27/07/2025;12:00;28,7
27/07/2025;13:00;30,7
27/07/2025;14:00;31,8
27/07/2025;15:00;32,6
27/07/2025;16:00;32,6
27/07/2025;17:00;32,2
27/07/2025;18:00;31,1
27/07/2025;19:00;28,7
27/07/2025;20:00;27,4
27/07/2025;21:00;25,6
27/07/2025;22:00;24,2
27/07/2025;23:00;23,5
27/07/2025;24:00;23,7
28/07/2025;01:00;23,2
28/07/2025;02:00;22,8
28/07/2025;03:00;22,8
28/07/2025;04:00;22,8
28/07/2025;05:00;22,4
28/07/2025;06:00;20,6
28/07/2025;07:00;19,6
28/07/2025;08:00;19,3
28/07/2025;09:00;20,7
28/07/2025;10:00;22,7
28/07/2025;11:00;22,1
28/07/2025;12:00;23,1
28/07/2025;13:00;19,3
28/07/2025;14:00;18,6
28/07/2025;15:00;18,8
28/07/2025;16:00;19,1
28/07/2025;17:00;19,7
28/07/2025;18:00;19,4
28/07/2025;19:00;19,0
28/07/2025;20:00;18,7
28/07/2025;21:00;18,6
28/07/2025;22:00;18,1
28/07/2025;23:00;17,7
28/07/2025;24:00;17,0
29/07/2025;01:00;16,1
29/07/2025;02:00;15,1
29/07/2025;03:00;13,6
29/07/2025;04:00;12,6
29/07/2025;05:00;11,7
29/07/2025;06:00;11,1
29/07/2025;07:00;10,8
29/07/2025;08:00;11,0
29/07/2025;09:00;12,2
29/07/2025;10:00;14,1
29/07/2025;11:00;16,4
29/07/2025;12:00;17,7
29/07/2025;13:00;18,8
29/07/2025;14:00;19,9
29/07/2025;15:00;21,0
29/07/2025;16:00;21,5
29/07/2025;17:00;21,6
29/07/2025;18:00;20,5
29/07/2025;19:00;19,0
29/07/2025;20:00;17,5
29/07/2025;21:00;16,4
29/07/2025;22:00;14,9
29/07/2025;23:00;13,9
29/07/2025;24:00;12,9
30/07/2025;01:00;12,4
30/07/2025;02:00;11,6
30/07/2025;03:00;11,0
30/07/2025;04:00;11,5
30/07/2025;05:00;10,6
30/07/2025;06:00;10,1
30/07/2025;07:00;9,3
30/07/2025;08:00;11,1
30/07/2025;09:00;14,4
30/07/2025;10:00;18,0
30/07/2025;11:00;20,3
30/07/2025;12:00;21,9
30/07/2025;13:00;23,3
30/07/2025;14:00;23,9
30/07/2025;15:00;24,6
30/07/2025;16:00;25,4
30/07/2025;17:00;25,4
30/07/2025;18:00;24,0
30/07/2025;19:00;21,4
30/07/2025;20:00;19,1
30/07/2025;21:00;18,4
30/07/2025;22:00;17,4
30/07/2025;23:00;16,2
30/07/2025;24:00;15,0
31/07/2025;01:00;14,3
31/07/2025;02:00;13,7
31/07/2025;03:00;13,2
31/07/2025;04:00;12,3
31/07/2025;05:00;11,5
31/07/2025;06:00;10,6
31/07/2025;07:00;10,1
31/07/2025;08:00;10,7
31/07/2025;09:00;13,4
31/07/2025;10:00;17,6
31/07/2025;11:00;20,8
31/07/2025;12:00;23,4
31/07/2025;13:00;25,8
31/07/2025;14:00;27,5
31/07/2025;15:00;28,8
31/07/2025;16:00;29,2
31/07/2025;17:00;29,1
31/07/2025;18:00;27,4
31/07/2025;19:00;23,7
31/07/2025;20:00;21,6
31/07/2025;21:00;19,7
31/07/2025;22:00;18,3
31/07/2025;23:00;17,0
31/07/2025;24:00;16,6
01/08/2025;01:00;16,6
01/08/2025;02:00;16,0
01/08/2025;03:00;15,8
01/08/2025;04:00;15,6
01/08/2025;05:00;15,1
01/08/2025;06:00;14,4
01/08/2025;07:00;13,7
01/08/2025;08:00;14,6
01/08/2025;09:00;18,1
01/08/2025;10:00;21,2
01/08/2025;11:00;24,0
01/08/2025;12:00;26,6
01/08/2025;13:00;28,7
01/08/2025;14:00;30,3
01/08/2025;15:00;31,6
01/08/2025;16:00;32,1
01/08/2025;17:00;31,7
01/08/2025;18:00;30,1
01/08/2025;19:00;26,9
01/08/2025;20:00;24,2
01/08/2025;21:00;22,5
01/08/2025;22:00;21,5
01/08/2025;23:00;20,6
01/08/2025;24:00;21,3
02/08/2025;01:00;20,9
02/08/2025;02:00;20,5
02/08/2025;03:00;19,7
02/08/2025;04:00;18,6
02/08/2025;05:00;17,6
02/08/2025;06:00;17,3
02/08/2025;07:00;17,4
02/08/2025;08:00;18,3
02/08/2025;09:00;20,3
02/08/2025;10:00;22,3
02/08/2025;11:00;24,8
02/08/2025;12:00;27,5
02/08/2025;13:00;29,5
02/08/2025;14:00;30,5
02/08/2025;15:00;30,9
02/08/2025;16:00;30,7
02/08/2025;17:00;30,2
02/08/2025;18:00;29,0
02/08/2025;19:00;26,2
02/08/2025;20:00;24,0
02/08/2025;21:00;22,6
02/08/2025;22:00;21,0
02/08/2025;23:00;20,1
02/08/2025;24:00;19,4
